"temperatura";"punto_rocio";"humedad";"direccion_viento";"velocidad_viento";"velocidad_rafaga";"precipitacion";"presion";"visibilidad"
37.04;19.94;49.62;300;13.80936;20.71404;0;1012.1;10
33.98;15.08;45.43;310;12.65858;25.31716;0;1014.1;10
30.02;12.92;48.48;320;18.41248;26.46794;0;1016;10
28.94;12.02;48.69;320;18.41248;25.31716;0;1016.5;10
26.96;10.94;50.34;310;14.96014;25.31716;0;1016.3;10
26.06;10.94;52.25;330;12.65858;24.16638;0;1016.3;10
30.92;12.02;44.92;300;14.96014;25.31716;0;1017.5;10
32;12.92;44.74;290;12.65858;23.0156;0;1017.1;10
33.98;12.92;41.33;290;16.11092;25.31716;0;1017.3;10
33.98;10.94;37.86;310;17.2617;26.46794;0;1017.8;10
33.98;12.02;39.72;310;13.80936;20.71404;0;1018.5;10
32;12.92;44.74;290;12.65858;18.41248;0;1019.7;10
30.02;14;50.84;280;9.20624;16.11092;0;1020.6;10
35.96;21.02;54.21;250;14.96014;19.56326;0;1019;10
37.04;19.04;47.75;260;16.11092;27.61872;0;1018.1;10
37.04;19.04;47.75;270;20.71404;27.61872;0;1016.9;10
39.92;19.94;44.33;260;17.2617;25.31716;0;1015.8;10
37.94;19.04;46.09;250;24.16638;31.07106;0;1015.1;10
37.94;19.94;47.89;250;21.86482;28.7695;0;1014.7;10
37.94;19.94;47.89;250;18.41248;27.61872;0;1014.6;10
37.04;19.94;49.62;250;17.2617;25.31716;0;1014.8;10
35.06;21.02;56.18;240;11.5078;19.56326;0;1015.5;10
32;17.06;53.6;290;18.41248;23.0156;0;1019.3;10
35.06;19.94;53.66;240;9.20624;20.71404;0;1024.5;10
41;21.02;44.51;310;10.35702;21.86482;0;1024.9;10
42.08;19.94;40.77;320;14.96014;26.46794;0;1024.6;10
44.06;19.94;37.79;290;11.5078;19.56326;0;1023.6;10
44.06;19.94;37.79;310;9.20624;16.11092;0;1024;10
46.94;26.96;45.48;240;13.80936;19.56326;0;1015.5;10
48.02;24.98;40.22;250;14.96014;18.41248;0;1015.1;10
44.06;26.96;50.73;300;13.80936;23.0156;0;1025.9;10
44.96;24.08;43.49;320;14.96014;21.86482;0;1026.5;10
46.04;23;39.9;300;11.5078;20.71404;0;1026.6;10
46.94;21.92;36.85;300;14.96014;24.16638;0;1026.9;10
46.94;19.94;33.88;290;11.5078;20.71404;0;1027.6;10
46.94;30.02;51.55;230;14.96014;25.31716;0;1027.9;10
48.92;37.04;63.39;210;13.80936;20.71404;0;1020.7;9
50;37.04;60.89;240;11.5078;20.71404;0;1021;10
41;26.06;54.97;300;12.65858;20.71404;0;1029;10
39.92;24.98;54.81;280;6.90468;17.2617;0;1030;10
44.96;23;41.56;320;17.2617;26.46794;0;1032.7;10
46.94;21.92;36.85;330;13.80936;23.0156;0;1032;10
48.92;21.92;34.21;320;14.96014;20.71404;0;1031.3;10
50;21.92;32.86;310;12.65858;18.41248;0;1031.5;10
50;21.92;32.86;300;11.5078;19.56326;0;1031.9;10
57.02;44.06;61.81;320;10.35702;17.2617;0;1019;10
55.94;37.94;50.72;340;12.65858;20.71404;0;1020;10
53.06;30.92;42.58;320;14.96014;27.61872;0;1021;10
51.08;30.02;44.16;330;11.5078;18.41248;0;1022.4;10
42.98;24.98;48.7;320;8.05546;17.2617;0;1017.7;10
28.04;12.92;52.57;330;21.86482;32.22184;0;1026.3;10
28.04;8.06;42.32;340;16.11092;24.16638;0;1028;10
28.94;6.98;38.85;310;16.11092;26.46794;0;1030.1;10
30.92;6.98;35.84;300;12.65858;21.86482;0;1030.6;10
30.92;1.94;28.44;340;16.11092;24.16638;0;1030.7;10
30.92;3.02;29.9;330;9.20624;16.11092;0;1030.6;10
35.06;24.08;63.91;210;18.41248;24.16638;0;1025.8;10
42.98;24.98;48.7;220;23.0156;28.7695;0;1024.1;10
48.02;24.98;40.22;220;23.0156;27.61872;0;1020.4;10
50;24.08;35.98;220;18.41248;27.61872;0;1019.4;10
51.08;23;33.04;220;19.56326;25.31716;0;1018.7;10
51.98;23;31.96;220;19.56326;25.31716;0;1018.1;10
46.94;26.96;45.48;200;14.96014;23.0156;0;1017.2;10
46.94;26.96;45.48;210;12.65858;24.16638;0;1016.9;10
44.96;26.96;49.02;210;18.41248;26.46794;0;1015.3;10
44.06;28.04;53.03;220;17.2617;23.0156;0;1014.4;10
42.98;28.04;55.27;220;16.11092;25.31716;0;1013.4;10
48.92;28.04;44.14;230;16.11092;24.16638;0;1007.5;10
53.96;28.04;36.63;240;19.56326;29.92028;0;1006.9;10
53.96;26.96;35.04;250;19.56326;41.42808;0;1006;10
55.94;24.08;28.93;260;20.71404;39.12652;0;1005.5;10
53.96;19.04;25.12;260;25.31716;34.5234;0;1006;10
53.06;14;20.87;250;26.46794;37.97574;0;1006.9;10
51.98;14;21.72;290;23.0156;31.07106;0;1008.3;10
48.02;10.94;21.98;290;21.86482;32.22184;0;1009.8;10
44.06;10.04;24.53;280;19.56326;34.5234;0;1011.5;10
42.08;12.92;30.08;290;21.86482;29.92028;0;1012.7;10
39.02;12.02;32.55;300;14.96014;23.0156;0;1014;10
37.04;14;38.38;310;17.2617;26.46794;0;1015.3;10
30.02;10.04;42.66;320;12.65858;18.41248;0;1017.6;10
26.06;6.08;41.98;290;10.35702;19.56326;0;1010.7;10
24.98;6.98;45.74;270;13.80936;18.41248;0;1011.4;10
24.08;6.98;47.49;280;18.41248;26.46794;0;1011.8;10
23;6.98;49.69;280;16.11092;25.31716;0;1012.3;10
19.94;6.08;54.3;290;14.96014;21.86482;0;1014.5;10
21.02;3.02;45.07;280;24.16638;29.92028;0;1017.3;10
21.02;-2.02;35.6;300;24.16638;35.67418;0;1017.6;10
21.92;-2.92;32.83;270;18.41248;28.7695;0;1017.8;10
23;-5.98;27.09;300;21.86482;32.22184;0;1017.3;10
23;-7.06;25.71;270;25.31716;33.37262;0;1016.8;10
23;-5.98;27.09;290;19.56326;26.46794;0;1016.9;10
23;-5.98;27.09;280;19.56326;27.61872;0;1017.3;10
21.02;-7.06;27.95;290;21.86482;29.92028;0;1018.1;10
19.04;-5.98;32.05;290;14.96014;26.46794;0;1019.1;10
17.96;-5.08;35.05;280;19.56326;24.16638;0;1021;10
17.06;-5.98;34.89;290;20.71404;26.46794;0;1021.7;10
15.98;-5.98;36.56;290;21.86482;27.61872;0;1022.2;10
15.98;-0.94;46.51;300;14.96014;21.86482;0;1022.7;10
15.08;-7.06;36.09;300;16.11092;23.0156;0;1023.3;10
14;-7.96;36.21;280;14.96014;21.86482;0;1023.1;10
12.92;-7.06;39.67;280;12.65858;21.86482;0;1022.9;10
12.02;-7.06;41.28;270;10.35702;18.41248;0;1023.7;10
17.96;-5.08;35.05;310;14.96014;20.71404;0;1024.4;10
19.94;-5.98;30.84;320;12.65858;17.2617;0;1023.4;10
19.04;-5.98;32.05;270;17.2617;21.86482;0;1021.8;10
19.04;-5.98;32.05;300;14.96014;20.71404;0;1021.9;10
21.92;-5.08;29.61;310;18.41248;21.86482;0;1024.2;10
23;-9.04;23.34;320;23.0156;32.22184;0;1024;10
24.08;-7.96;23.52;310;24.16638;34.5234;0;1023.8;10
24.08;-7.06;24.57;330;28.7695;40.2773;0;1024;10
24.08;-5.98;25.89;320;25.31716;35.67418;0;1024.9;10
24.08;-5.08;27.04;310;16.11092;29.92028;0;1025.8;10
21.92;-4;31.18;320;21.86482;28.7695;0;1026.6;10
21.02;-2.92;34.11;300;17.2617;26.46794;0;1027.6;10
19.94;-4;33.92;290;18.41248;32.22184;0;1028.5;10
19.04;-2.92;37.11;300;20.71404;27.61872;0;1029;10
17.96;-2.02;40.57;290;20.71404;35.67418;0;1028.6;10
17.96;-0.94;42.69;300;12.65858;27.61872;0;1029;10
17.06;-2.02;42.17;290;17.2617;35.67418;0;1029.5;10
15.98;-2.92;42.34;290;13.80936;20.71404;0;1029.7;10
15.08;-2.92;44.04;290;16.11092;23.0156;0;1029.7;10
14;-2.92;46.17;300;12.65858;20.71404;0;1030.3;10
12.92;-0.94;53.17;290;12.65858;23.0156;0;1030.4;10
23;10.04;57.03;290;11.5078;18.41248;0;1021.7;10
26.96;10.04;48.36;290;13.80936;24.16638;0;1020.8;10
28.04;6.98;40.31;300;16.11092;24.16638;0;1021.5;10
26.96;6.08;40.45;300;14.96014;21.86482;0;1022.2;10
24.98;5;41.8;320;19.56326;28.7695;0;1023.7;10
24.08;5;43.4;320;14.96014;27.61872;0;1025;10
23;6.08;47.7;320;17.2617;24.16638;0;1026.5;10
32;8.96;37.52;340;14.96014;20.71404;0;1032.6;10
33.98;8.06;33.28;310;10.35702;17.2617;0;1032.3;10
33.98;32;92.36;220;11.5078;19.56326;0;1018.7;2
62.06;57.02;83.54;180;21.86482;33.37262;0.01;994.1;10
62.06;57.92;86.29;180;31.07106;47.18198;0.05;986.4;6
62.06;59;89.7;180;27.61872;44.88042;0.19;983.9;3
46.04;30.02;53.33;270;39.12652;48.33276;0;992.3;10
44.06;24.98;46.73;270;32.22184;51.7851;0;994.2;10
44.96;21.02;38.23;260;33.37262;41.42808;0;995.4;10
46.04;19.04;33.73;280;33.37262;43.72964;0;996.3;10
46.04;19.04;33.73;260;31.07106;42.57886;0;996.6;10
44.96;19.04;35.14;250;23.0156;42.57886;0;997.9;10
44.06;17.96;34.72;260;27.61872;42.57886;0;999.1;10
42.08;15.08;33.06;270;26.46794;44.88042;0;1000.4;10
39.02;17.06;40.57;270;31.07106;40.2773;0;1002.2;10
35.96;12.92;38.2;260;28.7695;43.72964;0;1004.5;10
35.06;12.92;39.58;250;24.16638;29.92028;0;1006;10
33.08;15.08;47.1;270;20.71404;31.07106;0;1006.6;10
32;19.04;58.37;250;17.2617;26.46794;0;1007.3;10
32;10.04;39.38;260;28.7695;36.82496;0;1008;10
30.92;6.98;35.84;260;27.61872;35.67418;0;1008.5;10
28.94;10.94;46.41;250;19.56326;23.0156;0;1009.6;10
28.04;12.02;50.52;220;13.80936;20.71404;0;1010.4;10
30.02;10.04;42.66;290;17.2617;23.0156;0;1012.1;10
30.02;6.98;37.17;300;17.2617;27.61872;0;1012.1;10
32;5;31.35;330;25.31716;32.22184;0;1011.8;10
30.92;5;32.75;320;18.41248;27.61872;0;1012.1;10
33.98;3.02;26.43;280;20.71404;31.07106;0;1012.8;10
33.08;1.94;26.07;300;14.96014;33.37262;0;1013.8;10
26.96;15.98;62.83;280;18.41248;26.46794;0;1018.6;10
28.94;3.92;33.78;230;13.80936;19.56326;0;1023.5;10
30.02;3.92;32.32;220;16.11092;19.56326;0;1021.3;10
28.94;3.92;33.78;240;12.65858;20.71404;0;1020;10
28.04;6.98;40.31;260;10.35702;19.56326;0;1019.3;10
30.92;15.98;53.44;290;9.20624;17.2617;0;1009;10
26.06;12.02;54.82;290;18.41248;26.46794;0;1010.8;10
24.98;10.04;52.5;280;16.11092;20.71404;0;1011.3;10
24.98;8.96;50.02;270;17.2617;23.0156;0;1015;10
28.04;8.96;44.07;290;17.2617;25.31716;0;1015.3;10
30.02;6.98;37.17;280;18.41248;26.46794;0;1015;10
30.02;6.98;37.17;250;20.71404;28.7695;0;1014.7;10
30.92;8.06;37.63;290;20.71404;26.46794;0;1014.2;10
32;6.98;34.31;260;18.41248;32.22184;0;1013.6;10
30.92;6.08;34.4;260;14.96014;26.46794;0;1013.5;10
30.02;6.08;35.68;280;18.41248;26.46794;0;1013.7;10
28.94;6.08;37.29;260;16.11092;28.7695;0;1013.9;10
28.94;6.98;38.85;260;13.80936;17.2617;0;1014.5;10
37.94;24.98;59.22;280;13.80936;19.56326;0;1019.5;10
39.02;21.92;49.93;290;13.80936;21.86482;0;1019.4;10
39.02;19.94;45.91;270;17.2617;21.86482;0;1019.4;10
41;17.96;39.05;290;16.11092;21.86482;0;1020.1;10
39.02;17.06;40.57;290;16.11092;24.16638;0;1020.9;10
37.94;15.08;38.84;310;14.96014;25.31716;0;1021.8;10
37.04;14;38.38;310;10.35702;18.41248;0;1023.2;10
33.08;10.94;39.25;340;17.2617;21.86482;0;1026.4;10
35.06;26.06;69.4;60;9.20624;17.2617;0;1025.2;10
35.06;26.96;72.03;50;10.35702;21.86482;0;1022.9;10
35.06;33.08;92.4;40;18.41248;27.61872;0.04;1013.3;5
30.92;28.04;88.92;360;21.86482;27.61872;0;1004;2.5
30.92;28.04;88.92;310;13.80936;25.31716;0.01;1005.4;2.5
26.96;17.96;68.44;310;18.41248;27.61872;0;1014.1;10
26.96;17.06;65.84;310;13.80936;28.7695;0;1015.2;10
28.04;15.98;60.1;310;19.56326;28.7695;0;1016.5;10
28.94;15.98;57.92;320;28.7695;35.67418;0;1016.8;10
30.92;15.08;51.38;320;19.56326;26.46794;0;1017.1;10
33.08;14;44.92;300;17.2617;23.0156;0;1017.8;10
33.08;10.04;37.7;310;25.31716;33.37262;0;1018.3;10
33.08;8.06;34.5;320;16.11092;29.92028;0;1018.9;10
30.92;10.04;41.13;300;21.86482;29.92028;0;1020.1;10
30.02;8.06;39.03;320;18.41248;26.46794;0;1021.6;10
28.04;8.06;42.32;320;10.35702;19.56326;0;1022.8;10
26.96;6.98;42.14;310;11.5078;26.46794;0;1024;10
24.98;6.98;45.74;310;12.65858;23.0156;0;1025.4;10
39.92;28.04;62.21;270;20.71404;25.31716;0;1007.8;10
39.92;24.98;54.81;260;14.96014;20.71404;0;1010.7;10
42.08;26.06;52.73;260;17.2617;23.0156;0;1012;10
44.06;26.06;48.87;270;21.86482;31.07106;0;1012.5;10
46.04;26.06;45.33;280;13.80936;31.07106;0;1012.3;10
44.96;26.06;47.23;280;17.2617;24.16638;0;1011.9;10
42.98;24.98;48.7;300;12.65858;19.56326;0;1011.8;10
41;24.08;50.63;260;16.11092;26.46794;0;1013.8;10
51.98;30.02;42.72;240;9.20624;17.2617;0;1014.6;10
55.94;30.92;38.34;210;13.80936;19.56326;0;1013.6;10
55.94;28.94;35.37;220;13.80936;25.31716;0;1013.1;10
42.08;32;67.22;320;14.96014;28.7695;0;1014.5;10
39.02;26.96;61.63;360;8.05546;18.41248;0;1012.5;10
39.92;24.08;52.79;320;9.20624;18.41248;0;1011.8;10
33.08;17.96;53.36;340;23.0156;27.61872;0;1009.6;10
32;15.98;51.15;340;16.11092;26.46794;0;1007.9;10
30.92;12.92;46.74;330;16.11092;24.16638;0;1007.2;10
30.02;10.04;42.66;330;19.56326;27.61872;0;1006.7;10
30.02;10.94;44.41;350;13.80936;21.86482;0;1006.7;10
30.02;10.94;44.41;350;16.11092;25.31716;0;1005.9;10
28.94;10.94;46.41;330;19.56326;26.46794;0;1005.6;10
28.94;3.92;33.78;320;19.56326;25.31716;0;1005.2;10
28.04;1.94;31.98;320;19.56326;27.61872;0;1005.1;10
28.04;1.04;30.67;310;19.56326;27.61872;0;1005.6;10
28.04;1.04;30.67;310;20.71404;32.22184;0;1005.2;10
28.94;-0.04;28.1;320;23.0156;34.5234;0;1005.7;10
30.92;1.04;27.27;300;31.07106;36.82496;0;1005.9;10
33.08;1.04;25;320;27.61872;37.97574;0;1006.2;10
33.98;3.02;26.43;310;27.61872;35.67418;0;1006.3;10
33.08;1.04;25;310;27.61872;40.2773;0;1006.9;10
32;-0.04;24.82;310;23.0156;34.5234;0;1007.4;10
30.92;-0.94;24.85;290;24.16638;39.12652;0;1008;10
28.94;3.92;33.78;290;24.16638;31.07106;0;1009.1;10
26.06;6.98;43.74;300;23.0156;32.22184;0;1010.3;10
24.08;6.98;47.49;310;19.56326;27.61872;0;1011.8;10
23;-0.04;35.95;300;26.46794;34.5234;0;1013;10
21.02;-0.94;37.46;310;24.16638;36.82496;0;1014.3;10
19.94;-0.94;39.22;300;16.11092;25.31716;0;1015.4;10
19.04;-0.94;40.76;300;25.31716;34.5234;0;1016;10
19.04;-0.94;40.76;300;23.0156;31.07106;0;1017.3;10
19.04;-0.04;42.52;290;25.31716;33.37262;0;1017.5;10
17.96;1.04;46.85;300;17.2617;26.46794;0;1018.2;10
17.96;1.94;48.85;300;14.96014;23.0156;0;1019.1;10
17.06;1.94;50.79;290;13.80936;26.46794;0;1020.2;10
17.06;1.94;50.79;310;14.96014;23.0156;0;1022.4;10
19.04;1.94;46.64;300;10.35702;19.56326;0;1023.2;10
30.92;3.92;31.16;280;14.96014;21.86482;0;1024.2;10
33.08;3.02;27.4;290;20.71404;26.46794;0;1023.5;10
35.06;3.92;26.39;280;12.65858;23.0156;0;1022.7;10
37.04;3.92;24.4;300;13.80936;18.41248;0;1022.3;10
48.92;28.94;45.79;200;12.65858;21.86482;0;1013.6;10
44.96;35.96;70.52;220;17.2617;26.46794;0;1012.8;9
39.92;30.92;69.96;270;17.2617;25.31716;0;1006.4;10
37.94;28.04;67.21;280;19.56326;27.61872;0;1006.8;10
35.96;21.92;56.32;270;20.71404;29.92028;0;1006.8;10
33.98;21.92;60.93;260;16.11092;26.46794;0;1007.7;10
32;17.06;53.6;290;21.86482;29.92028;0;1007.9;10
30.92;15.08;51.38;280;14.96014;21.86482;0;1008.5;10
30.92;15.08;51.38;270;20.71404;26.46794;0;1009.1;10
